1,This tree is too healthy to cut down.
2,I did a great job.
3,Maybe I should become a tree surgeon.
4,A thriving tree
5,WOW.WSA
6,Wow!
7,I healed the willow tree!
8,"That was amazing, Brandon!"
9,Want to play?
10,I'll show you this marble I found.
11,"Sorry, I can't play now, Merith..."
12,...but let me see that marble.
13,If you want it...
14,HERSAW1.WSA
15,"Brandon, I have your saw!"
16,"That's ok, Herman.  You can keep it."
17,But I sharpened it just for you!
18,HERSAW2.WSA
19,"Sawing logs, Herman?"
20,He won't let go of the saw.
21,A royal hallway
22,SPELL.WSA
23,BRANDYW2.WSA
24,Good.
25,You have the scroll.
26,Next you'll seek another tool.
27,Another tool?
28,He must find his birthstones.
29,Mirth cones?!
30,You mean BIRTHSTONES.
31,The seasons have their gems.
32,Place each in order on a plate...
33,...or something like that.
34,What are my birthstones...
35,...and what plate?
36,Summer is the first.
37,I think I hid that one somewhere near...
38,That is all I can recall.
39,I summoned all your stones...
40,...but my spell has gone awry.
41,You will have to choose from whatever lies about.
42,"Aha, you have my quill!"
43,Why did I want it?
44,You are the Master of Scrolls.
45,Write him one to aid his quest.
46,Of course!
47,You'll need a...
48,...Magic scroll!
49,I solved the birth- stones quest...
50,...and I received a flute.
51,"Excellent, Bandon..."
52,Have you practiced yet?
53,My name is Brandon sir...
54,...not Bandon or Cramden...
55,...and the flute is rather shrill.
56,...and I have not tried playing the flute.
57,Zanthia knows Alchemy...
58,She could change your name.
59,She lives just across Shadowland I think...
60,...or did she move?
61,Forgive him please...
62,...he tries hard.
63,The labyrinth begins at Serpent's Grotto.
64,Be very cautious!
65,There are horrible beasts in there!
66,Darm - Are you awake?
67,May I help you?
68,He asked for ME!
69,Why would he visit you?
70,What do you want boy?
71,Are you taking orders for cheese?
72,"This is Brandon, you old dolt."
73,You know...
74,Kallak's grandson...
75,The one on a quest to overthrow Malcolm's power.
76,I knew that.
77,"So, Branson, you're a dancer?"
78,That seems odd.
79,I'll need a quill.
80,A what?
81,He's had writer's block for years.
82,Perhaps the crisis has inspired him.
83,Are you saying I scattered papers about just to look busy?
84,Say...
85,Could YOU brush a dragon's teeth?
86,BRANDYW3.WSA
87,Do I smell cats on your breath?
88,Is it my fault I don't eat knights?
89,Yech!
90,All sweat and muscle...
91,...and so hard to peel!
92,"So, can you help me?"
93,Brynn thought so.
94,If you'd just stop your dancing Cramden...
95,...and bring me what I asked for!
96,Well Branson...
97,You still have not given me the quill I need.
98,For mystics with no magic left...
